subject_id,display_name,param_count_b,log_param_count,provider,arch_family,is_instruct,is_multimodal,is_closed,is_swebench_agent,is_reward_model,is_fc_variant,is_reasoning,arena_elo,arena_rank,arena_votes,hf_downloads,hf_likes,hf_created_at,openrouter_context_length,openrouter_prompt_price
05788e96b1593db5,BioMistral-7B,7.0,0.8450980400142568,mistral,mistral,0,0,0,0,0,0,0,,,,129763.0,505.0,2024-02-14,,
de85c8c3f70a6111,Llama3-OpenBioLLM-70B,70.0,1.845098040014257,meta,llama,0,0,0,0,0,0,0,,,,,,,,
d351a4b08ea4c5ec,Meditron-7B,7.0,0.8450980400142568,other_open,other,0,0,0,0,0,0,0,,,,3325.0,322.0,2023-11-08,,
676fe3c6193a4dad,Meta-Llama-3-70B-Instruct,70.0,1.845098040014257,meta,llama,1,0,0,0,0,0,0,1220.8415360600047,254.0,156876.0,112259.0,1514.0,2024-04-17,8192.0,5.1e-07
7b45f370e9714d4d,Meta-Llama-3-8B,8.0,0.9030899869919435,meta,llama,0,0,0,0,0,0,0,,,,2283910.0,6549.0,2024-04-17,,
e972399a710cde48,Mixtral-8x7B-Instruct-v0.1,56.0,1.7481880270062005,mistral,mistral,1,0,0,0,0,0,0,1131.6018074452425,293.0,73503.0,892471.0,4685.0,2023-12-10,,
599bdc9065220e25,PMC-LLaMA-7B,7.0,0.8450980400142568,meta,llama,0,0,0,0,0,0,0,,,,,,,,
fa61c3c27b356564,Phi-3-medium-128k-instruct,,,microsoft,phi,1,0,0,0,0,0,0,,,,7957.0,388.0,2024-05-07,,
b95ed391d97e9ac5,Phi-3-mini-128k-instruct,,,microsoft,phi,1,0,0,0,0,0,0,1050.4309108746988,338.0,20685.0,238703.0,1699.0,2024-04-22,,
f85a9cf82a932725,claude-3-5-sonnet-20240620,,,anthropic,claude,0,0,1,0,0,0,0,1280.9606550719923,215.0,82419.0,,,,,
ddff2371f69a35c5,claude-3-haiku-20240307,,,anthropic,claude,0,0,1,0,0,0,0,1194.7225057168382,265.0,117701.0,,,,200000.0,2.5e-07
3f1e86a6a2d3bb8d,claude-3-opus-20240229,,,anthropic,claude,0,0,1,0,0,0,0,1262.0526881402443,233.0,194909.0,,,,,
f3040325fbcd60ad,claude-3-sonnet-20240229,,,anthropic,claude,0,0,1,0,0,0,0,1218.0828967285254,255.0,109284.0,,,,,
cab1e8918f0942de,gpt-3.5-turbo-1106,,,openai,gpt,0,0,1,0,0,0,0,1094.163362887946,314.0,16619.0,,,,16385.0,5e-07
1b1ae706971632ad,gpt-4,,,openai,gpt,0,0,1,0,0,0,0,,,,,,,8191.0,3e-05
a2a69af70d1b9be7,gpt-4o,,,openai,gpt,0,0,1,0,0,0,0,1282.5872296851026,211.0,45499.0,,,,128000.0,2.5e-06
8a43428062692d36,gpt-4o-mini,,,openai,gpt,0,0,1,0,0,0,0,1286.4697778495058,207.0,68710.0,,,,128000.0,1.5e-07
a653d684f6c4a974,llama3-405b-instruct-maas,405.0,2.6074550232146687,meta,llama,1,0,0,0,0,0,0,,,,,,,,
3b406757e877762c,gemini_pro,,,google,gemini,0,0,1,0,0,0,0,1130.5814333002343,294.0,6390.0,,,,1048576.0,2e-06
781e92b245543c65,gemini_ultra,,,google,gemini,0,0,1,0,0,0,0,,,,,,,,
49d1f5e1a8386e34,medlm,,,google,other,0,0,1,0,0,0,0,,,,,,,,
aa9865d0f19a8cfe,medpalm2,,,google,other,0,0,1,0,0,0,0,,,,,,,,
d28e4053062132f2,Meta-Llama-3-8B-Instruct,8.0,0.9030899869919435,meta,llama,1,0,0,0,0,0,0,1165.647828499389,279.0,104642.0,1670495.0,4546.0,2024-04-17,8192.0,4e-08
46c8499b5e950b34,Meta-Llama-3.1-8B-Instruct,8.0,0.9030899869919435,meta,llama,1,0,0,0,0,0,0,1186.6246654723261,271.0,49605.0,10533318.0,5914.0,2024-07-18,131072.0,2e-08
ff9cbb6ed04fff99,Mistral-7B-Instruct-v0.2,7.0,0.8450980400142568,mistral,mistral,1,0,0,0,0,0,0,1023.5485628292377,344.0,8977.0,3126847.0,3150.0,2023-12-11,4096.0,1.1e-07
d64c0ba7156a3f61,Mistral-7B-Instruct-v0.3,7.0,0.8450980400142568,mistral,mistral,1,0,0,0,0,0,0,1023.5485628292377,344.0,8977.0,4308325.0,2595.0,2024-05-22,4096.0,1.1e-07
744814b5b3011642,gpt-3.5-turbo,,,openai,gpt,0,0,1,0,0,0,0,1124.9639882309173,298.0,66207.0,,,,16385.0,5e-07
3b6887a88871f335,gpt-4-turbo,,,openai,gpt,0,0,1,0,0,0,0,1271.733102895077,223.0,98114.0,,,,128000.0,1e-05
9ce80880a0d9a558,JSL-MedLlama-3-8B-v2.0,8.0,0.9030899869919435,meta,llama,0,0,0,0,0,0,0,,,,,,,,
c77b14928a35f208,Phi-3-mini-4k-instruct,,,microsoft,phi,1,0,0,0,0,0,0,1073.3482720668137,325.0,20118.0,694093.0,1424.0,2024-04-22,,
d1f581c18c4d12f0,Meta-SecAlign-70B,70.0,1.845098040014257,meta,other,0,0,0,0,0,0,0,,,,,,,,
fa77a258eab54830,Meta-SecAlign-70B (repeat_user_prompt),70.0,1.845098040014257,meta,other,0,0,0,0,0,0,0,,,,,,,,
ce8041ab459c3167,claude-3-5-sonnet-20241022,,,anthropic,claude,0,0,1,0,0,0,0,1280.9606550719923,215.0,82419.0,,,,,
